casnumber,chemicalname,proposed_parent_cas_dashed,proposed_parent_casnumber,proposed_parent_name,proposed_match_rationale,confidence,notes
3759920,"Furaltadone hydrochloride;5-[(Morpholin-4-yl)methyl]-3-{[(5-nitrofuran-2-yl)methylidene]amino}-1,3-oxazolidin-2-one--hydrogen chloride (1/1)",139-91-3,139913,Furaltadone,HCl salt of organic base -> free base (nitrofuran antibacterial),medium,
3766276,"2,4-D lithium salt;Lithium (2,4-dichlorophenoxy)acetate",94-75-7,94757,"2,4-D","lithium salt -> 2,4-D acid parent",high,
3810740,"Streptomycin sulfate (2:3);Sulfuric acid--N,N'-[(1R,2R,3S,4R,5R,6S)-4-({5-deoxy-2-O-[2-deoxy-2-(methylamino)-alpha-L-glucopyranosyl]-3-C-formyl-alpha-L-lyxofuranosyl}oxy)-2,5,6-trihydroxycyclohexane-1,3-diyl]diguanidine (3/2)",57-92-9,57929,Streptomycin,sulfate salt of organic base -> free base (aminoglycoside antibiotic),high,
3862122,"1,1',1''-Phosphate-2,4-dimethylphenol",3862-12-2,3862122,"Tris(2,4-dimethylphenyl) phosphate","direct - no simpler parent: phosphate ester, distinct industrial chemical",high,
3878453,Triphenylphosphine sulfide,3878-45-3,3878453,Triphenylphosphine sulfide,"direct - no simpler parent: phosphine sulfide, distinct compound class",high,
4080313,"N-(3-Chloroallyl)hexaminium chloride;1-[(2E)-3-Chloroprop-2-en-1-yl]-1,3,5,7-tetraazatricyclo[3.3.1.1~3,7~]decan-1-ium chloride",4080-31-3,4080313,N-(3-Chloroallyl)hexaminium chloride (Quaternium-15),direct - no simpler parent: quaternary ammonium salt (registered preservative),high,
4081236,"2-Phenoxy-4H-1,3,2-benzobioxaphosphorin 2-oxide",4081-23-6,4081236,"2-Phenoxy-4H-1,3,2-benzodioxaphosphorin 2-oxide","direct - no simpler parent: cyclic phosphate ester, distinct industrial chemical",medium,Could not confidently pin a specific common/trade name for this exact cyclic phosphonate structure; treated as its own parent absent a simpler-parent candidate.
4189440,Thiourea dioxide,4189-44-0,4189440,Thiourea dioxide,"direct - no simpler parent: covalent S,S-dioxide oxidation product of thiourea, structurally and functionally distinct (industrial reducing agent), not a salt of thiourea",high,
4208804,"2-(2-((2,4-Dimethoxyphenyl)amino)ethenyl)-1,3,3-trimethyl-3H-indolium, Chloride",4208-80-4,4208804,Indolium dye salt (cyanine-type),"direct - no simpler parent: indolium chloride dye, cation is a permanently charged chromophore",high,
4264839,4-Nitrophenyl phosphate disodium salt;Disodium 4-nitrophenyl phosphate,4264-83-9,4264839,4-Nitrophenyl phosphate disodium salt,"direct - no simpler parent: disodium salt of an organic phosphate monoester (biochemical reagent), consistent with sodium organic-salt precedent",high,
4301502,"Fluenethyl;2-Fluoroethyl ([1,1'-biphenyl]-4-yl)acetate",4301-50-2,4301502,Fluenethyl,direct - no simpler parent: registered acaricide active ingredient with its own ISO common name (itself the fluoroethyl ester),high,
4368518,"N,N,N-Triheptyl-1-heptanaminium bromide (1:1)",4368-51-8,4368518,Tetraheptylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
4392249,Cinnamyl bromide,4392-24-9,4392249,Cinnamyl bromide,direct - no simpler parent: simple organohalide,high,
4437858,"Butylene carbonate;4-Ethyl-1,3-dioxolan-2-one",4437-85-8,4437858,Butylene carbonate,"direct - no simpler parent: cyclic organic carbonate ester, distinct industrial solvent (not an inorganic metal carbonate salt)",high,
4501002,Erythromycin phosphate,114-07-8,114078,Erythromycin,phosphate salt of organic base -> free base (macrolide antibiotic),high,
4754443,Tetradecyl sulfate;Tetradecyl hydrogen sulfate,4754-44-3,4754443,Tetradecyl hydrogen sulfate,"direct - no simpler parent: alkyl sulfate ester (acid form), distinct registered substance",high,
4965177,"1-Pentanaminium, N,N,N-tripentyl-, chloride (1:1);N,N,N-Tripentylpentan-1-aminium chloride",4965-17-7,4965177,Tetrapentylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
5080502,"(2R)-2-(Acetyloxy)-3-carboxy-N,N,N-trimethyl-1-propanaminium chloride (1:1)",5080-50-2,5080502,Acetylcarnitine chloride,direct - no simpler parent: quaternary ammonium salt (carnitine ester betaine with chloride counterion),high,
5137553,"Methyltrioctylammonium chloride;N-Methyl-N,N-dioctyloctan-1-aminium chloride",5137-55-3,5137553,Methyltrioctylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
5407045,"Dimethylaminopropyl chloride hydrochloride;3-Chloro-N,N-dimethylpropan-1-amine--hydrogen chloride (1/1)",NA,NA,"3-Chloro-N,N-dimethylpropan-1-amine (free base)",HCl salt of organic base -> free base (the reactive chloroalkyl group is covalent and not removed; only the amine HCl is a separable salt),medium,"Free-base CAS not confidently verified from memory; rule application (strip the amine HCl) is high-confidence, but the exact registry number should be confirmed before use."
5470111,Hydroxylamine hydrochloride;Hydroxylamine--hydrogen chloride (1/1),7803-49-8,7803498,Hydroxylamine,HCl salt of organic/inorganic base -> free base,high,
5471089,"Benzeneethanamine, sulfate (2:1);Sulfuric acid--2-phenylethan-1-amine (1/2)",6-40-4,6404,Phenethylamine,sulfate salt of organic base -> free base,high,
5538943,"Dioctyldimethylammonium chloride;N,N-Dimethyl-N-octyloctan-1-aminium chloride",5538-94-3,5538943,Dioctyldimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
5598152,"Chlorpyrifos oxon;Diethyl 3,5,6-trichloropyridin-2-yl phosphate",5598-15-2,5598152,Chlorpyrifos oxon,direct - no simpler parent: organophosphate compound (oxon metabolite of chlorpyrifos),high,
5598527,"Fospirate;Dimethyl 3,5,6-trichloropyridin-2-yl phosphate",5598-52-7,5598527,Fospirate,"direct - no simpler parent: organophosphate compound (oxon-type, dimethyl analogue related to chlorpyrifos-methyl)",medium,
5711193,Trimethyllead acetate;(Acetyloxy)(trimethyl)plumbane,7439-92-1,7439921,Lead,"organolead salt -> Pb element (general metals convention; unlike organotin, this lookup has no established ""regulatory representative"" organolead parent to default to instead)",low,"Organolead toxicity differs substantially from inorganic Pb; this is a genuine judgment call given the lack of an organolead-specific precedent (contrast with Triphenyltin/Tributyltin, which have their own established reference congeners in this lookup). Flag strongly for reviewer."
6055192,"N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine, 2-Oxide, Monohydrate",50-18-0,50180,Cyclophosphamide,"hydrate form -> anhydrous parent (water of crystallization is not a toxicologically distinct counterion; the 2-oxide is the intrinsic P=O of the oxazaphosphorine ring, not a separable salt)",high,
6145739,"2-Chloro-1-propanol, 1,1',1''-phosphate",6145-73-9,6145739,Tris(2-chloropropyl) phosphate,"direct - no simpler parent: phosphate ester flame retardant, distinct industrial chemical",high,
6266235,1-(Carboxymethyl)pyridinium chloride;1-(Carboxymethyl)pyridin-1-ium chloride,6266-23-5,6266235,1-(Carboxymethyl)pyridinium chloride,"direct - no simpler parent: quaternary pyridinium salt, cation permanently charged",high,
6369977,"2,4,5-T dimethylamine salt;N-Methylmethanaminium (2,4,5-trichlorophenoxy)acetate",93-76-5,93765,"2,4,5-T","dimethylamine salt -> 2,4,5-T acid parent (phenoxy herbicide convention)",high,
6439674,"N,N,N-Tributyl-1-hexadecanaminium, Bromide",6439-67-4,6439674,"Tributylhexadecylammonium bromide (N,N,N-tributyl-1-hexadecanaminium bromide)","direct - no simpler parent: quaternary ammonium salt, cation permanently charged",high,
6452739,Oxprenolol hydrochloride;1-[(Propan-2-yl)amino]-3-{2-[(prop-2-en-1-yl)oxy]phenoxy}propan-2-ol--hydrogen chloride (1/1),6452-71-7,6452717,Oxprenolol,HCl salt of organic base -> free base (beta blocker),medium,"Free-base CAS recalled from memory (numerically adjacent to the salt's own CAS 6452-73-9, a common registration pattern for free-base/HCl-salt pairs); recommend confirming before use."
6458135,"Ethyl dimethyl oleyl ammonium bromide;(9Z)-N-Ethyl-N,N-dimethyloctadec-9-en-1-aminium bromide",6458-13-5,6458135,Ethyl dimethyl oleyl ammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
6923224,Monocrotophos;Dimethyl (2E)-4-(methylamino)-4-oxobut-2-en-2-yl phosphate,6923-22-4,6923224,Monocrotophos,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
7173515,"Didecyldimethylammonium chloride;N-Decyl-N,N-dimethyldecan-1-aminium chloride",7173-51-5,7173515,Didecyldimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
7250671,1-(2-Chloroethyl)pyrrolidine hydrochloride;1-(2-Chloroethyl)pyrrolidine--hydrogen chloride (1/1),NA,NA,1-(2-Chloroethyl)pyrrolidine (free base),"HCl salt of organic base -> free base (chloroethyl group is covalent and not removed; only the amine HCl is a separable salt, consistent with the Dimethylaminopropyl chloride hydrochloride precedent in Part 1)",medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
7281041,"Benzyldodecyldimethylammonium bromide;N-Benzyl-N,N-dimethyldodecan-1-aminium bromide",7281-04-1,7281041,Benzyldodecyldimethylammonium bromide,direct - no simpler parent: quaternary ammonium salt,high,
7292162,Propaphos;4-(Methylsulfanyl)phenyl dipropyl phosphate,7292-16-2,7292162,Propaphos,direct - no simpler parent: registered organophosphate insecticide active ingredient,high,
7379353,4-Chloropyridine hydrochloride;4-Chloropyridine--hydrogen chloride (1/1),626-61-9,626619,4-Chloropyridine,HCl salt of organic base -> free base (common heterocyclic building block),high,
7398698,"Dimethyldiallylammonium chloride;N,N-Dimethyl-N-(prop-2-en-1-yl)prop-2-en-1-aminium chloride",7398-69-8,7398698,Dimethyldiallylammonium chloride,direct - no simpler parent: quaternary ammonium salt (DADMAC monomer),high,
7446073,Tellurium oxide,13494-80-9,13494809,Tellurium,"Te oxide -> Te element (metalloid, consistent with general metals/metalloids-collapse-to-element convention)",high,
7446084,Selenium oxide (SeO2),7782-49-2,7782492,Selenium,Se oxide -> Se element,high,
7447407,Potassium chloride (KCl),16887-00-6,16887006,Chloride,K chloride -> chloride ion (major-ion cation treated as spectator; chloride is independently ANZG-relevant and already recognized as a standalone parent ion elsewhere in this lookup),medium,New convention decision for this batch - no exact precedent existed for simple alkali-metal halides prior to this run; flag for reviewer. Alternative reading would resolve to the Potassium element by analogy with the oxide/hydroxide-collapse pattern.
7447418,Lithium chloride;Lithium chloride,16887-00-6,16887006,Chloride,Li chloride -> chloride ion (same reasoning as Potassium chloride above),medium,Same convention flag as Potassium chloride.
7487889,Magnesium sulfate;Magnesium sulfate,14808-79-8,14808798,Sulfate,Mg sulfate -> sulfate ion (documented nutrient-ion convention; major-ion cation treated as spectator),high,
7550358,Lithium bromide,24959-67-9,24959679,Bromide,Li bromide -> bromide ion (same major-ion-spectator reasoning as chloride cases),medium,"Bromide ion CAS recalled from memory, not cross-verified against an existing in-table entry; confirm before use."
7550450,(T-4)-Titanium chloride (TiCl4),7440-32-6,7440326,Titanium,Ti chloride -> Ti element,high,
7558794,Dibasic sodium phosphate;Disodium hydrogen phosphate,14265-44-2,14265442,Phosphate,Na phosphate salt -> phosphate ion (documented nutrient-ion convention),high,
7558807,Monosodium phosphate;Sodium dihydrogen phosphate,14265-44-2,14265442,Phosphate,Na phosphate salt -> phosphate ion (documented nutrient-ion convention),high,
7601549,Trisodium phosphate;Trisodium phosphate,14265-44-2,14265442,Phosphate,Na phosphate salt -> phosphate ion (documented nutrient-ion convention),high,
7631950,(T-4)-Sodium (1:2) molybdate,7439-98-7,7439987,Molybdenum,"Na molybdate -> Mo element (metal oxyanion convention, paralleling the established Sodium vanadate -> Vanadium precedent)",medium,
7632000,Sodium nitrite;Sodium nitrite,14797-65-0,14797650,Nitrite,Na nitrite -> nitrite ion (documented nutrient-ion convention),high,
7632055,Sodium phosphate,14265-44-2,14265442,Phosphate,Na phosphate -> phosphate ion (documented nutrient-ion convention),high,
7647010,Hydrochloric acid;Hydrogen chloride,7647-01-0,7647010,Hydrochloric acid,"direct - no simpler parent: mineral acid, registered/tested for its own acidity (pH) effects, distinct from metal-chloride salt entries",high,
7647101,Palladium(II) chloride;Palladium(2+) dichloride,7440-05-3,7440053,Palladium,Pd salt -> Pd element,high,
7647145,Sodium chloride (NaCl),16887-00-6,16887006,Chloride,"Na chloride -> chloride ion (major-ion cation spectator, same reasoning as Potassium chloride above)",medium,Same convention flag as Potassium chloride.
7647156,Sodium bromide (NaBr),24959-67-9,24959679,Bromide,Na bromide -> bromide ion (same reasoning as Lithium bromide above),medium,Bromide ion CAS recalled from memory; confirm before use.
7647178,Cesium chloride,16887-00-6,16887006,Chloride,Cs chloride -> chloride ion (same major-ion-spectator reasoning),medium,Same convention flag as Potassium chloride.
7681110,Potassium iodide;Potassium iodide,20461-54-5,20461545,Iodide,K iodide -> iodide ion (same major-ion-spectator reasoning),medium,"Iodide ion CAS recalled from memory, not cross-verified against an existing in-table entry; confirm before use."
7681381,Sodium hydrogen sulfate;Sodium hydrogen sulfate,14808-79-8,14808798,Sulfate,Na bisulfate -> sulfate ion (documented nutrient-ion convention),high,
7681494,Sodium fluoride;Sodium fluoride,16984-48-8,16984488,Fluoride,"Na fluoride -> fluoride ion (this exact ion is independently present as a standalone entry, CAS 16984488, elsewhere in this same 287-row batch)",high,
7681825,Sodium iodide,20461-54-5,20461545,Iodide,Na iodide -> iodide ion (same reasoning as Potassium iodide above),medium,Iodide ion CAS recalled from memory; confirm before use.
7705079,Titanium chloride,7440-32-6,7440326,Titanium,Ti chloride -> Ti element,high,
7705080,Iron chloride (FeCl3),7439-89-6,7439896,Iron,Fe chloride -> Fe element,high,
7720787,Iron(II) sulfate;Iron(2+) sulfate,7439-89-6,7439896,Iron,Fe salt -> Fe element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
7727437,Barium sulfate;Barium sulfate,7440-39-3,7440393,Barium,"Ba salt -> Ba element (Barium has independent ANZG/ecotox guideline relevance as a trace metal, distinct from major-ion alkaline earths Ca/Mg, per the established Part 1 Barium acetate precedent)",medium,Consistent with Part 1's Barium acetate -> Barium decision.
7727733,Sodium sulfate [USP];Sodium sulfate--water (2/1/10),14808-79-8,14808798,Sulfate,Na sulfate (hydrate) -> sulfate ion (documented nutrient-ion convention; water of crystallisation is not a toxicologically distinct counterion),high,
7745893,3-Chloro-4-methylbenzenamine hydrochloride;3-Chloro-4-methylaniline--hydrogen chloride (1/1),NA,NA,3-Chloro-4-methylaniline (free base),HCl salt of organic base -> free base,medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
7757826,Sodium sulfate anyhdrous;Disodium sulfate,14808-79-8,14808798,Sulfate,Na sulfate -> sulfate ion (documented nutrient-ion convention),high,
7758023,Potassium bromide,24959-67-9,24959679,Bromide,K bromide -> bromide ion (major-ion-spectator reasoning),medium,Bromide ion CAS recalled from memory; confirm before use.
7758943,Iron chloride (FeCl2),7439-89-6,7439896,Iron,Fe chloride -> Fe element,high,
7772998,Tin(II) chloride;Tin(2+) dichloride,7440-31-5,7440315,Tin,Sn salt -> Sn element,high,
7778189,Calcium sulfate;Calcium sulfate,14808-79-8,14808798,Sulfate,"Ca sulfate -> sulfate ion (Calcium is treated as a common major ion/water-hardness contributor rather than a metal of specific toxicological interest in this lookup, distinguishing it from trace metals like Barium/Iron; documented nutrient-ion convention)",high,"This differs from the earlier Calcium oxide/hydroxide -> Calcium precedent, where no competing ion-target existed; flag for reviewer to confirm Ca/Mg sulfate should resolve to Sulfate rather than to the element for full consistency."
7778770,Monobasic potassium phosphate;Potassium dihydrogen phosphate,14265-44-2,14265442,Phosphate,K phosphate -> phosphate ion (documented nutrient-ion convention),high,
7778805,Potassium sulfate;Dipotassium sulfate,14808-79-8,14808798,Sulfate,K sulfate -> sulfate ion (documented nutrient-ion convention),high,
7786303,Magnesium chloride,16887-00-6,16887006,Chloride,"Mg chloride -> chloride ion (major-ion-spectator reasoning, same flag as other simple major-ion chlorides)",medium,Same convention flag as Potassium chloride.
7787475,Beryllium chloride,7440-41-7,7440417,Beryllium,"Be salt -> Be element (Beryllium is treated as a trace metal of interest regardless of anion, per the Stage 2b pilot's Beryllium sulfate -> Beryllium precedent)",high,
7788989,Ammonium chromate;Bisammonium tetraoxidochromate(2-),7440-47-3,7440473,Chromium,"ammonium chromate -> Cr element (hexavalent chromium oxyanion is the toxicologically distinct moiety; the general 'ammonium salts stay direct' precedent applies to simple anions without a metal of interest, e.g. hydroxide/halide, not to metal oxyanions like chromate)",medium,
7789415,Calcium bromide,24959-67-9,24959679,Bromide,Ca bromide -> bromide ion (major-ion-spectator reasoning),medium,Bromide ion CAS recalled from memory; confirm before use.
7790592,Potassium selenate,7782-49-2,7782492,Selenium,"K selenate -> Se element (metalloid oxyanion convention, paralleling the established Arsenate -> Arsenic and Sodium vanadate -> Vanadium precedents; Selenium guideline values are expressed as total Se)",medium,
7790865,Cerium chloride;Cerium(3+) trichloride,7440-45-1,7440451,Cerium,Ce chloride -> Ce element,high,
7791119,Rubidium chloride,16887-00-6,16887006,Chloride,Rb chloride -> chloride ion (major-ion cation treated as spectator),medium,Same convention flag as other simple alkali-metal chlorides in this batch.
7791186,Magnesium chloride--water (1/2/6),16887-00-6,16887006,Chloride,Mg chloride hydrate -> chloride ion (hydrate does not change the resolution; same reasoning as anhydrous Magnesium chloride),medium,Same convention flag as other simple alkali/alkaline-earth chlorides.
8001545,Benzalkonium chloride,8001-54-5,8001545,Benzalkonium chloride,"direct - no simpler parent: quaternary ammonium salt (registered disinfectant, mixture of alkyl chain lengths)",high,
8063523,"(Z)-9-Octadecon-1-ol, Hydrogen sulfate, Sodium salt, mixt. with hexadecyl sodium sulfate",NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""mixt. with"" notation joining two distinct alkyl sulfate salt components",high,
8066771,"Sulfuric acid monododecyl ester sodium salt, Mixt. with Tetradecyl sodium sulfate",NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""Mixt. with"" notation joining two distinct alkyl sulfate salt components",high,
8067558,"4-Amino-3,5,6-trichloro-2-pyridinecarboxylic acid compd. with 1,1',1''-nitrilotris[2-propanol] (1:1) mixt. with 1,1',1''-nitrilotris[2-propanol] (2,4-dichlorophenoxy)acetate (1:1)",NA,NA,NA,"MIXTURE OR PSEUDO-CAS - cannot resolve: ""compd. with"" notation joining two chemically distinct components with stoichiometry, plus a further ""mixt. with"" component",high,Reused from Stage 2b pilot - same CAS appeared in both samples (the pilot's most complex multi-component mixture case).
9004824,Sodium lauryl polyoxyethylene ether sulfate,9004-82-4,9004824,Sodium lauryl polyoxyethylene ether sulfate (sodium laureth sulfate),direct - no simpler parent: alkyl ether sulfate surfactant (consistent with established Sodium dodecyl/decyl sulfate precedent: alkyl sulfate esters are not collapsed to a simpler parent),high,
9014908,Polyethylene glycol nonylphenyl ether sulfate sodium salt,9014-90-8,9014908,Polyethylene glycol nonylphenyl ether sulfate sodium salt,direct - no simpler parent: alkyl/aryl ether sulfate surfactant (same convention as other alkyl sulfate ester surfactants),high,
10024938,Neodymium(III) chloride;Neodymium trichloride,7440-00-8,7440008,Neodymium,Nd salt -> Nd element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
10025657,Platinum chloride (PtCl2),7440-06-4,7440064,Platinum,Pt chloride -> Pt element,high,
10025748,Dysprosium(III) chloride;Dysprosium trichloride,7429-91-6,7429916,Dysprosium,Dy salt -> Dy element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
10025760,Europium(III) chloride;Europium(3+) trichloride,7440-53-1,7440531,Europium,Eu chloride -> Eu element,high,
10026081,Thorium chloride (ThCl4);Thorium(4+) tetrachloride,7440-29-1,7440291,Thorium,Th chloride -> Th element,high,
10026116,Zirconium(IV) chloride;Zirconium(4+) tetrachloride,7440-67-7,7440677,Zirconium,Zr chloride -> Zr element,high,
10026127,Niobium chloride;Niobium(5+) pentachloride,7440-03-1,7440031,Niobium,Nb chloride -> Nb element,high,
10028225,Ferric sulfate;Iron(3+) sulfate (2/3),7439-89-6,7439896,Iron,Fe sulfate -> Fe element (heavy-metal cation overrides the sulfate nutrient-ion convention),high,
10038989,Germanium chloride,7440-56-4,7440564,Germanium,Ge chloride -> Ge element,high,
10039540,Hydroxylamine sulfate (2:1);Bis(hydroxyammonium) sulfate,7803-49-8,7803498,Hydroxylamine,"sulfate salt of inorganic/organic base -> free base, consistent with the established Hydroxylamine hydrochloride -> Hydroxylamine precedent",high,
10042849,Nitrilotriacetic acid sodium salt;Sodium [bis(carboxymethyl)amino]acetate,10042-84-9,10042849,Nitrilotriacetic acid sodium salt,"direct - no simpler parent: sodium salt of a chelating tricarboxylic acid (consistent with the established sodium organic-acid-salt precedent, e.g. Trisodium citrate, Sodium [dodecanoyl(methyl)amino]acetate)",high,
10042883,Terbium chloride (TbCl3);Terbium(3+) trichloride,7440-27-9,7440279,Terbium,Tb chloride -> Tb element,high,
10043524,Calcium chloride (CaCl2),16887-00-6,16887006,Chloride,"Ca chloride -> chloride ion (Calcium treated as a common major ion/water-hardness contributor, consistent with the Calcium sulfate -> Sulfate decision earlier in this batch)",medium,Same convention flag as other simple major-ion chlorides; consistency with the earlier Calcium oxide/hydroxide -> Calcium precedent (where no competing ion-target existed) should be reviewed.
10099588,Lanthanum chloride;Lanthanum trichloride,7439-91-0,7439910,Lanthanum,La salt -> La element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
10099668,Lutetium chloride (LuCl3);Lutetium trichloride,7439-94-3,7439943,Lutetium,Lu chloride -> Lu element,high,
10102440,Nitrogen dioxide;Nitrosooxidanyl,10102-44-0,10102440,Nitrogen dioxide,"direct - no simpler parent: simple inorganic gas, conventionally its own analyte (consistent with the Carbon dioxide precedent), distinct from the alkali-metal nitrite/nitrate salts treated under the nutrient-ion convention",high,
10108868,"N,N,N-Trimethyl-1-octanamonium chloride",10108-86-8,10108868,Octyltrimethylammonium chloride,direct - no simpler parent: quaternary ammonium salt,high,
10114586,"C.I. Basic Brown 1, dihydrochloride;4,4'-[1,3-Phenylenebis(diazene-2,1-diyl)]di(benzene-1,3-diamine)--hydrogen chloride (1/2)",NA,NA,C.I. Basic Brown 1 (free base diazoamino dye),"dihydrochloride salt of a neutral diazo-diamine dye base -> free base (consistent with the multi-HCl-salt-of-organic-base precedent, e.g. Spermine tetrahydrochloride -> Spermine; unlike the permanently-cationic dye salts elsewhere in this lookup, this dye's chromophore does not require a quaternary/iminium charge)",medium,Free-base CAS not confidently verified from memory; recommend confirming before use.
10138417,Erbium chloride (ErCl3);Erbium trichloride,7440-52-0,7440520,Erbium,Er chloride -> Er element,high,
10138520,Gadolinium(III) chloride;Gadolinium trichloride,7440-54-2,7440542,Gadolinium,Gd chloride -> Gd element,high,
10138622,Holmium chloride (HoCl3);Holmium trichloride,7440-60-0,7440600,Holmium,Ho chloride -> Ho element,high,
10141056,Cobalt(II) nitrate;Cobalt(2+) dinitrate,7440-48-4,7440484,Cobalt,Co nitrate -> Co element (heavy-metal cation overrides the nitrate nutrient-ion convention),high,
10161349,"Trenbolone acetate;(17beta)-3-Oxoestra-4,9,11-trien-17-yl acetate",10161-34-9,10161349,Trenbolone acetate,"direct - no simpler parent: registered veterinary anabolic steroid active ingredient (acetate ester is the standard registered/clinical form, consistent with the Cyproterone acetate precedent)",high,
10361372,Barium chloride,7440-39-3,7440393,Barium,Ba chloride -> Ba element (consistent with the established Barium acetate -> Barium precedent),medium,
10361827,Samarium chloride;Samarium(3+) trichloride,7440-19-9,7440199,Samarium,Sm chloride -> Sm element,high,
10361849,Scandium(III) chloride;Scandium trichloride,7440-20-2,7440202,Scandium,Sc chloride -> Sc element,high,
10377487,Lithium sulfate;Dilithium sulfate,14808-79-8,14808798,Sulfate,Li sulfate -> sulfate ion (documented nutrient-ion convention),high,
10431477,Potassium selenite,7782-49-2,7782492,Selenium,K selenite -> Se element (metalloid oxyanion convention),medium,
10476854,Strontium chloride,16887-00-6,16887006,Chloride,"Sr chloride -> chloride ion (Strontium treated as a common alkaline-earth major ion akin to Ca/Mg rather than a trace metal of specific guideline interest like Barium, since no Sr-specific guideline precedent exists in this lookup)",medium,Judgment call - Strontium's classification as 'major ion' vs 'trace metal of interest' is not precedented elsewhere in this lookup; flag for reviewer. An alternative reading would collapse to elemental Strontium by analogy with Barium.
11071151,"Antimony potassium tartrate anhydrous;Dipotassium 3,6,10,13-tetraoxo-2,7,9,14,15,16,17,18-octaoxa-1,8-distibapentacyclo[10.2.1.1~1,4~.1~5,8~.1~8,11~]octadecane-1,8-diuide",7440-36-0,7440360,Antimony,"antimony potassium tartrate -> Sb element (Antimony is the toxicologically distinct metalloid moiety in this coordination salt; potassium and tartrate are spectators, consistent with the established Antimony trioxide -> Antimony precedent and the general heavy/trace-metal-cation-wins convention)",medium,This is a registered historical antiparasitic/emetic agent (tartar emetic) sometimes tracked as the intact coordination complex rather than decomposed to elemental Sb; flag for reviewer if the project wants this compound kept direct instead.
11105025,Silver vanadium oxide,NA,NA,"Possibly Silver (more potent aquatic toxicant) or Vanadium - mixed-metal oxide, no single clear parent","UNCERTAIN - needs human review: mixed silver-vanadium oxide, contains two metals of independent toxicological interest (Ag, V) with no established convention in this lookup for selecting between co-occurring metals in a single mixed-metal compound",low,"Recommend human review to decide whether this resolves to Silver, Vanadium, both (multi-parent), or stays direct as its own distinct mixed-metal-oxide entity."
12030910,Potassium tantalum oxide,7440-25-7,7440257,Tantalum,"K tantalum oxide -> Ta element (Tantalum is the toxicologically distinct metal; potassium is the spectator counterion, oxide has no competing ion-parent target)",medium,
12040572,Iron chloride,7439-89-6,7439896,Iron,Fe chloride -> Fe element,high,
12055628,Holmium oxide (Ho2O3),7440-60-0,7440600,Holmium,Ho oxide -> Ho element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
12060581,Samarium oxide (Sm2O3),7440-19-9,7440199,Samarium,Sm oxide -> Sm element,high,Reused from Stage 2b pilot - same CAS appeared in both samples.
12061164,Erbium oxide (Er2O3),7440-52-0,7440520,Erbium,Er oxide -> Er element,high,
12124979,Ammonium bromide ((NH4)Br),12124-97-9,12124979,Ammonium bromide,"direct - no simpler parent: simple ammonium halide (ammonium is not a metal; consistent with the established ammonium-salts-stay-direct precedent, e.g. Ammonium hydroxide)",high,
12125018,Ammonium fluoride,12125-01-8,12125018,Ammonium fluoride,direct - no simpler parent: simple ammonium halide (same reasoning as Ammonium bromide),high,
12125029,Ammonium chloride ((NH4)Cl),12125-02-9,12125029,Ammonium chloride,direct - no simpler parent: simple ammonium halide (same reasoning as Ammonium bromide),high,
12135761,Ammonium sulfide,7783-06-4,7783064,Hydrogen sulfide,"(NH4)2S -> sulfide ion equivalent (Hydrogen sulfide is the established reference analyte for sulfide/hydrosulfide speciation in this lookup, consistent with how Sodium/Calcium sulfide resolve in Part 1)",medium,
12136457,Potassium oxide;Potassium oxidopotassium,7440-09-7,7440097,Potassium,K oxide -> K element (consistent with the established Potassium hydroxide -> Potassium precedent from Part 1),medium,
12221691,"1,4-Dimethyl-5-[[4-[methyl(phenylmethyl)amino]phenyl]azo]-1H-1,2,4-triazolium bromide",12221-69-1,12221691,"1,4-Dimethyl-5-[[4-[methyl(phenylmethyl)amino]phenyl]azo]-1H-1,2,4-triazolium bromide","direct - no simpler parent: triazolium bromide azo dye/salt, cation permanently charged (consistent with established quaternary heteroaromatic onium salt convention)",high,
12232994,Bismuth sodium oxide (BiNaO3);Sodium dioxo-lambda~5~-bismuthanolate,7440-69-9,7440699,Bismuth,"Bi-Na mixed oxide -> Bi element (sodium is the spectator counterion; bismuth is the toxicologically distinct heavy metal, oxide has no competing ion-parent target)",medium,
12258536,Borate,7440-42-8,7440428,Boron,"Borate ion -> B element (consistent with the established Sodium borate -> Boron precedent; Boron guideline values are expressed as total element, paralleling Arsenic/Vanadium)",medium,
